"File","Size (bytes)","Modified","Migration Complexity","Is Critical","Firebase Imports","Firestore Calls","Auth Calls","Function Triggers","Config References"
"core-protocols/admin-core/frontend/src/app/(dashboard)/users/create/page.tsx","12229","2025-08-11T19:17:14.025Z","LOW","false","0","0","2","0","0"
"core-protocols/admin-core/frontend/src/app/(dashboard)/usertype/create/page.tsx","3458","2025-08-11T19:17:14.025Z","LOW","false","0","0","2","0","0"
"core-protocols/admin-core/frontend/src/types/integration.ts","1249","2025-08-11T18:55:51.802Z","LOW","false","0","0","2","0","0"
"core-protocols/admin-core/github_token_manager.js","5025","2025-08-11T19:17:13.974Z","LOW","false","0","0","1","0","0"
"core-protocols/admin-core/scripts/verify_deployment.py","8659","2025-08-10T05:09:45.979Z","LOW","false","0","0","0","1","0"
"core-protocols/admin-core/utils/oauth_example.py","8909","2025-08-10T05:09:45.980Z","MEDIUM","false","0","0","3","0","0"
"core-protocols/admin-core/utils/oauth_providers.py","6231","2025-08-10T05:09:45.980Z","LOW","false","0","0","1","0","0"
"core-protocols/agents/r1_research/DrBurby.py","7763","2025-08-10T05:09:45.981Z","MEDIUM","false","0","2","0","0","0"
"core-protocols/agents/r1_research/DrLucy.py","8705","2025-08-10T05:09:45.981Z","LOW","false","0","1","0","0","0"
"core-protocols/agents/r1_research/agent_connection.py","6912","2025-08-10T05:09:45.981Z","MEDIUM","false","0","2","0","0","0"
